,ISBN,result,price_paperback,price_hardcover,Name,Publisher,CountsOfReview,PublishYear,Authors,Rating,Description,Count of text reviews,PagesNumber,RatingDistTotal_split,RatingDist1_final,RatingDist2_final,RatingDist3_final,RatingDist4_final,RatingDist5_final
3534,158547021X,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $11.81  \n\n\n   \n     2 Used from $11.81         1 Collectible from $60.00      ', '  Paperback  \n $19.99  \n\n\n   \n     3 Used from $19.54         15 New from $14.74      ', '  Audio CD  \n $34.99  \n\n\n   \n     2 New from $17.49      '], '158547021X')",19.99,11.81,A Cold Red Sunrise,Center Point,0,2001,Stuart M. Kaminsky,4.12,"Rostnikov is sent to a remote area to investigate the killing of a Commissar assigned to investigate a previous murder, and his every move is being monitored by the Kremlin.",,287.0,557,1,13,91,263,189
3535,0694526126,"(['  Kindle  \n $17.97  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.59  \n\n\n   \n     23 Used from $7.80         22 New from $11.50      ', '  Paperback  \n $13.96  \n\n\n   \n     5 Used from $6.57         7 New from $8.88      ', '  Audio CD  \n $22.00  \n\n\n   \n     4 Used from $13.93         2 New from $18.00      '], '0694526126')",13.96,16.59,Scary Stories: The Complete 3-book Audio Collection,HarperChildrensAudio,9,1991,Alvin Schwartz,4.35,"Walking corpses, dancing bones, knife-wielding madmen, and narrow escapes from death -- they're all here in this chilling collection of ghost stories. Brought to spine-tingling, flesh-crawling life by acclaimed Broadway actor (and master ghoul) George S. Irving, these horrific tales are guaranteed to raise goosebumps. Let the faint of heart beware. Pull up a chair, find a hand to hold, and prepare to be horrified.<br /><br />Includes:<br />Scary Stories to Tell in the Dark<br />More Scary Stories to Tell in the Dark<br />Scary Stories 3: More Tales to Chill Your Bones",,3.0,7427,97,239,987,1775,4329
3536,077106442X,"(['  Kindle  \n $2.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $7.62  \n\n\n   \n     10 Used from $7.62      ', '  Paperback  \n $4.72  \n\n\n   \n     7 Used from $4.72         4 New from $30.03      ', '  Audio, Cassette  \n $54.95  \n\n\n   \n     1 Used from $44.50         1 New from $54.95      '], '077106442X')",4.72,7.62,The Doctor's Wife,McClelland & Stewart,0,1976,Brian Moore,3.75,"Awaiting her husband's arrival on holiday in France, Sheila Redden,quiet, middle-aged doctor's wife, suddenly finds herself caught up in a passionate affair with a young American, ten years her junior, this extraordinary powerful portrayal of a woman transformed by love was shortlisted for the Booker Prize.",,277.0,584,11,36,183,214,140
3537,0440003628,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $12.98  \n\n\n   \n     43 Used from $3.00         1 New from $74.88         1 Collectible from $75.00      ', '  Paperback  \n $23.27  \n\n\n   \n     14 Used from $2.49         4 New from $27.87         1 Collectible from $24.95      '], '0440003628')",23.27,12.98,Arthur Rex: A Legendary Novel,Delacorte Press,3,1978,Thomas Berger,3.84,"With these tales, the author pays homage to the lives of King Arthur, the Round Table knights and their ladies, while introducing inspired new twists to the stories of old. <br /><br />Thomas Berger has previously written ""Little Big Man"", ""Killing Time"" and ""Changing the Past"".",,499.0,682,21,41,166,249,205
3538,0786245921,"(['  Kindle  \n $12.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $7.30  \n\n\n   \n     8 Used from $4.99      ', '  Paperback  \n $16.00  \n\n\n   \n     58 Used from $1.67         10 New from $10.91         1 Collectible from $6.79      ', '  Audio CD  \n $24.28  \n\n\n   \n     2 New from $20.76      '], '0786245921')",16.0,7.3,Annie Dunne (Dunne Family #2),Thorndike Press,3,2002,Sebastian Barry,3.88,"The central character in Sebastian Barry's novel <i>Annie Dunne</i> is a woman who has been pushed to the margins, a woman whom life has given few chances of happiness and fulfillment. Unmarried, she spends years as housekeeper for her brother-in-law because her sister is too ill to manage. Her sister dies, her brother-in-law remarries, and Annie Dunne is homeless. Invited by her cousin Sarah, she moves to a small farm in a remote part of Wicklow. As the novel opens, the two cousins share their lives and the work on the farm. It is the late 1950s and rural Ireland is changing around them. Annie's nephew heads for London in search of work and leaves his young children with their great-aunt. Content with her life with Sarah, Annie also finds a new capacity for love in her feelings for the two children. Yet even the small pleasures that Annie finds in her life are threatened. An unlikely suitor pays court to Sarah, and Annie's love for the children opens her up to pain almost as much as to happiness. <i>Annie Dunne</i> is a novel in which few external dramas occur--there is an accident with a pony and trap, one of the children goes temporarily missing--but Barry evokes superbly the inner dramas of his characters.",,336.0,1318,33,57,317,543,368
3539,0670062529,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $5.99  \n\n\n   \n     18 Used from $2.01         1 Collectible from $8.99      ', '  Paperback  \n $6.99  \n\n\n   \n     12 Used from $2.78         3 New from $6.99      ', '  Audio CD  \n    \n                             from $6.99                \n\n\n   \n     1 Used from $6.99         1 New from $13.51      '], '0670062529')",6.99,5.99,"The Mystery of the Third Lucretia (Kari + Lucas Mysteries, #1)",Viking Juvenile,105,2008,Susan Runholt,3.78,"If it hadn't been for Lucas's photographic memory, they might not have remembered the man. It had been almost a year since she and Kari had noticed him copying the famous Rembrandt painting in the Minneapolis Institute of Arts. But now in the National Gallery in London, they're sure it's the same guy, copying another Rembrandt. What is going on?<br /><br /><i>The International Herald Tribune</i> gives them their answer. A never-before-seen Rembrandt painting has been discovered in Amsterdam. The mysterious man must've been working on a forgery! Convinced that no one will believe them without more evidence, the teenage sleuths embark on a madcap adventure to find the forger. But is bringing the criminal to justice worth the price of their lives?",,278.0,881,35,62,237,276,271
3542,1600241700,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $12.93  \n\n\n   \n     132 Used from $1.17         23 New from $3.24         8 Collectible from $4.25      ', '  Paperback  \n $12.29  \n\n\n   \n     101 Used from $1.07         15 New from $7.29         2 Collectible from $3.99      ', '  Mass Market Paperback  \n $17.97  \n\n\n   \n     3 Used from $17.96         2 New from $15.05      ', '  Audio CD  \n $3.00  \n\n\n   \n     17 Used from $3.00         1 New from $62.35      '], '1600241700')",12.29,12.93,Off Season,Grand Central Publishing,8,2008,Anne Rivers Siddons,3.5,"Acclaimed novelist Anne Rivers Siddons's new novel is a stunning tale of love and loss. <br /><br /> For as long as she can remember, they were Cam and Lilly--happily married, totally in love with each other, parents of a beautiful family, and partners in life. Then, after decades of marriage, it ended as every great love story does...in loss. After Cam's death, Lilly takes a lone road trip to her and Cam's favorite spot on the remote coast of Maine, the place where they fell in love over and over again, where their ghosts still dance. There, she looks hard to her past--to a first love that ended in tragedy; to falling in love with Cam; to a marriage filled with exuberance, sheer life, and safety-- to try to figure out her future.<br /><br /> It is a journey begun with tender memories and culminating in a revelation that will make Lilly re-evaluate everything she thought was true about her husband and her marriage.",,10.0,5882,169,664,2075,1997,977
3543,0824023129,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.00  \n\n\n   \n     1 Used from $18.00         1 New from $16.00      ', '  Paperback  \n $4.25  \n\n\n   \n     1 New from $4.25      ', '  Mass Market Paperback  \n $7.69  \n\n\n   \n     7 Used from $7.69         3 New from $7.99         1 Collectible from $5.49      ', '  Audio CD  \n $9.99  \n\n\n   \n     1 Used from $5.99         2 New from $9.99      '], '0824023129')",4.25,16.0,Rebecca Sunnybrook Farm,Dissertations-G,0,1976,Kate Douglas Wiggin,3.87,"Talkative, ten-year-old Rebecca goes to live with her spinster aunts, one harsh and demanding, the other soft and sentimental, with whom she spends seven difficult but rewarding years growing up.",,327.0,32994,572,2088,9026,10682,10626
3545,157490549X,"(['  Kindle  \n $0.00  \n   \n Read with \n                    Kindle Unlimited  to also enjoy access to over 3 million more titles      $4.99 to buy    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $41.75  \n\n\n   \n     14 Used from $3.40         2 New from $41.75      ', '  Paperback  \n $16.94  \n\n\n   \n     5 Used from $2.99      ', '  Mass Market Paperback  \n $4.95  \n\n\n   \n     35 Used from $0.99         2 New from $10.99         1 Collectible from $6.49      '], '157490549X')",16.94,41.75,"Shop Till You Drop (Dead-End Job Mystery, #1)",Thomas T. Beeler Publisher,1,2004,Elaine Viets,3.72,,,307.0,3201,86,250,976,1055,834
3546,0316195510,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $18.35  \n\n\n   \n     6 Used from $14.38         2 Collectible from $49.95      ', '  Paperback  \n $17.99  \n\n\n   \n     23 Used from $2.03         15 New from $13.69      ', '  Mass Market Paperback  \n $8.61  \n\n\n   \n     37 Used from $1.75      ', '  Audio CD  \n $42.01  \n\n\n   \n     2 New from $21.49      '], '0316195510')",17.99,18.35,Stranger with My Face,Little Brown & Co (Juv),2,2011,Lois Duncan,3.9,"A seventeen-year-old senses she is being spied on and probably impersonated, but when she discovers what actually is occurring, it is more unbelievable than she ever imagined.",,250.0,8642,92,442,2348,3107,2653
3547,0743252233,"(['  Hardcover  \n $11.35  \n\n\n   \n     8 Used from $7.35      ', '  Paperback  \n $10.56  \n\n\n   \n     13 Used from $5.59      '], '0743252233')",10.56,11.35,"Shooting Stars (Shooting Stars, #1-4)",Not Avail,0,2005,V.C. Andrews,3.95,"FOUR GIRLS TOUCHED BY SPECIAL GIFTS. FOUR STUNNING <i>NEW YORK TIMES</i> BESTSELLERS -- TOGETHER FOR THE FIRST TIME<br /><i>Cinnamon</i>...She escaped her family's turmoil by dreaming of imaginary worlds. But it's her talent for the theater that gives Cinnamon a chance...to truly escape.<br /><i>Ice</i>...To her mother's dismay, she was a silent wallflower, not a social butterfly. Now, her secret gift -- her solid-gold singing voice -- may become her saving grace.<br /><i>Rose</i>...When she danced, she could dream -- and when her father's secrets threatened to destroy her world, a most unlikely person gives Rose the courage to follow her heart.<br /><i>Honey</i>...Raised on her strict grandfather's farm, her natural-born talent for the violin gave her a new life -- and love with a handsome soul mate. Will a shocking revelation shatter her newfound happiness?",,646.0,1370,37,112,299,362,560
3548,0525950699,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $14.71  \n\n\n   \n     112 Used from $0.25         21 New from $5.62         3 Collectible from $3.00      ', '  Paperback  \n $16.00  \n\n\n   \n     39 Used from $1.77         10 New from $9.48      ', '  Audio CD  \n $13.16  \n\n\n   \n     7 Used from $5.90         2 New from $9.97      '], '0525950699')",16.0,14.71,Mother Warriors: A Nation of Parents Healing Autism Against All Odds,Dutton Adult,201,2008,Jenny McCarthy,3.85,,,272.0,1262,73,82,270,376,461
3551,034095261X,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $30.79  \n\n\n   \n     225 Used from $1.42         19 New from $10.00         57 Collectible from $7.95      ', '  Paperback  \n $14.49  \n\n\n   \n     20 Used from $7.30         24 New from $13.05         4 Collectible from $14.99      ', '  Mass Market Paperback  \n $7.95  \n\n\n   \n     98 Used from $0.99         1 New from $19.50         6 Collectible from $5.25      ', '  Preloaded Digital Audio Player  \n    \n                        \n    —\n             \n\n\n   \n  '], '034095261X')",14.49,30.79,The Dark Half,Hodder,16,2007,Stephen King,3.78,Thad Beaumont is a Pulitzer Prize-winning author who has developed a lucrative thriller-writing alter ego named George Stark. When he stops being fun Beaumont wants to kill him. But George Stark does not want to die.,,480.0,122945,2091,8873,36528,42394,33059
